containerid,coke_ind,coke_kilo
gcn79001022,0,0
gcn79001025,0,0
gcn79001041,0,0
gcn79001048,0,0
gcn79001057,0,0
gcn79001060,0,0
gcn79001064,0,0
gcn79001067,0,0
gcn79001075,0,0
gcn79001081,0,0
gcn79001082,0,0
gcn79001084,0,0
gcn79001097,0,0
gcn79001111,0,0
gcn79001112,0,0
gcn79001122,0,0
gcn79001142,0,0
gcn79001147,0,0
gcn79001151,0,0
gcn79001152,0,0
gcn79001168,0,0
gcn79001169,0,0
gcn79001171,0,0
gcn79001174,0,0
gcn79001186,0,0
gcn79001187,0,0
gcn79001195,0,0
gcn79001203,0,0
gcn79001222,0,0
gcn79001231,0,0
gcn79001238,0,0
gcn79001248,0,0
gcn79001250,0,0
gcn79001257,0,0
gcn79001261,0,0
gcn79001275,0,0
gcn79001282,0,0
gcn79001283,0,0
gcn79001284,0,0
gcn79001286,0,0
gcn79001292,0,0
gcn79001306,0,0
gcn79001309,0,0
gcn79001328,0,0
gcn79001337,0,0
gcn79001341,0,0
gcn79001349,0,0
gcn79001350,0,0
gcn79001362,0,0
gcn79001364,0,0
gcn79001374,0,0
gcn79001379,0,0
gcn79001382,0,0
gcn79001383,0,0
gcn79001390,0,0
gcn79001397,0,0
gcn79001405,0,0
gcn79001406,0,0
gcn79001417,0,0
gcn79001418,0,0
gcn79001423,0,0
gcn79001424,0,0
gcn79001431,0,0
gcn79001450,0,0
gcn79001456,0,0
gcn79001458,0,0
gcn79001466,0,0
gcn79001469,0,0
gcn79001473,0,0
gcn79001483,0,0
gcn79001488,0,0
gcn79001489,0,0
gcn79001497,0,0
gcn79001501,0,0
gcn79001508,0,0
gcn79001509,0,0
gcn79001514,0,0
gcn79001523,0,0
gcn79001528,0,0
gcn79001534,0,0
gcn79001540,0,0
gcn79001541,0,0
gcn79001545,0,0
gcn79001554,0,0
gcn79001555,0,0
gcn79001556,0,0
gcn79001565,0,0
gcn79001573,0,0
gcn79001575,0,0
gcn79001577,0,0
gcn79001578,0,0
gcn79001581,0,0
gcn79001590,0,0
gcn79001595,0,0
gcn79001611,0,0
gcn79001629,0,0
gcn79001638,0,0
gcn79001640,0,0
gcn79001642,0,0
gcn79001646,0,0
gcn79001647,0,0
gcn79001657,0,0
gcn79001666,0,0
gcn79001668,0,0
gcn79001696,0,0
gcn79001702,0,0
gcn79001716,0,0
gcn79001721,0,0
gcn79001722,0,0
gcn79001736,0,0
gcn79001738,0,0
gcn79001742,0,0
gcn79001748,0,0
gcn79001749,0,0
gcn79001755,0,0
gcn79001761,0,0
gcn79001766,0,0
gcn79001767,0,0
gcn79001770,0,0
gcn79001784,0,0
gcn79001787,0,0
gcn79001791,0,0
gcn79001792,0,0
gcn79001795,0,0
gcn79001799,0,0
gcn79001800,0,0
gcn79001806,0,0
gcn79001826,0,0
gcn79001829,0,0
gcn79001843,0,0
gcn79001860,0,0
gcn79001862,0,0
gcn79001863,0,0
gcn79001864,0,0
gcn79001869,0,0
gcn79001871,0,0
gcn79001872,0,0
gcn79001876,0,0
gcn79001885,0,0
gcn79001896,0,0
gcn79001906,0,0
gcn79001908,0,0
gcn79001913,0,0
gcn79001919,0,0
gcn79001940,0,0
gcn79001945,0,0
gcn79001948,0,0
gcn79001955,0,0
gcn79001988,0,0
gcn79001992,0,0
gcn79001993,0,0
gcn79001996,0,0
gcn79001998,0,0
gcn79002001,0,0
gcn79002022,0,0
gcn79002030,0,0
gcn79002042,0,0
gcn79002045,0,0
gcn79002054,0,0
gcn79002055,0,0
gcn79002062,0,0
gcn79002073,0,0
gcn79002076,0,0
gcn79002093,0,0
gcn79002103,0,0
gcn79002119,0,0
gcn79002127,0,0
gcn79002130,0,0
gcn79002138,0,0
gcn79002140,0,0
gcn79002143,0,0
gcn79002150,0,0
gcn79002151,0,0
gcn79002156,0,0
gcn79002166,0,0
gcn79002167,0,0
gcn79002171,0,0
gcn79002177,0,0
gcn79002181,0,0
gcn79002185,0,0
gcn79002188,0,0
gcn79002189,0,0
gcn79002196,0,0
gcn79002207,0,0
gcn79002215,0,0
gcn79002219,0,0
gcn79002221,0,0
gcn79002228,0,0
gcn79002232,0,0
gcn79002244,0,0
gcn79002247,0,0
gcn79002255,0,0
gcn79002256,0,0
gcn79002262,0,0
gcn79002270,0,0
gcn79002282,0,0
gcn79002298,0,0
gcn79002307,0,0
gcn79002311,0,0
gcn79002317,0,0
gcn79002324,0,0
gcn79002332,0,0
gcn79002340,0,0
gcn79002343,0,0
gcn79002345,0,0
gcn79002348,0,0
gcn79002349,0,0
gcn79002357,0,0
gcn79002363,0,0
gcn79002364,0,0
gcn79002366,0,0
gcn79002367,0,0
gcn79002372,0,0
gcn79002377,0,0
gcn79002382,0,0
gcn79002388,0,0
gcn79002400,0,0
gcn79002402,0,0
gcn79002406,0,0
gcn79002407,0,0
gcn79002411,0,0
gcn79002413,0,0
gcn79002414,0,0
gcn79002416,0,0
gcn79002434,0,0
gcn79002438,0,0
gcn79002440,0,0
gcn79002441,0,0
gcn79002451,0,0
gcn79002454,0,0
gcn79002463,0,0
gcn79002470,0,0
gcn79002477,0,0
gcn79002478,0,0
gcn79002479,0,0
gcn79002505,0,0
gcn79002512,0,0
gcn79002522,0,0
gcn79002528,0,0
gcn79002532,0,0
gcn79002546,0,0
gcn79002554,0,0
gcn79002555,0,0
gcn79002559,0,0
gcn79002561,0,0
gcn79002570,0,0
gcn79002576,0,0
gcn79002596,0,0
gcn79002601,0,0
gcn79002602,0,0
gcn79002608,0,0
gcn79002609,0,0
gcn79002610,0,0
gcn79002615,0,0
gcn79002617,0,0
gcn79002619,0,0
gcn79002629,0,0
gcn79002631,0,0
gcn79002641,0,0
gcn79002644,0,0
gcn79002647,0,0
gcn79002653,0,0
gcn79002655,0,0
gcn79002657,0,0
gcn79002660,0,0
gcn79002664,0,0
gcn79002670,0,0
gcn79002672,0,0
gcn79002675,0,0
gcn79002686,0,0
gcn79002691,0,0
gcn79002694,0,0
gcn79002704,0,0
gcn79002705,0,0
gcn79002707,0,0
gcn79002721,0,0
gcn79002728,0,0
gcn79002732,0,0
gcn79002734,0,0
gcn79002736,0,0
gcn79002741,0,0
gcn79002744,0,0
gcn79002751,0,0
gcn79002755,0,0
gcn79002758,0,0
gcn79002759,0,0
gcn79002761,0,0
gcn79002765,0,0
gcn79002771,0,0
gcn79002774,0,0
gcn79002781,0,0
gcn79002796,0,0
gcn79002799,0,0
gcn79002801,0,0
gcn79002809,0,0
gcn79002810,0,0
gcn79002818,0,0
gcn79002819,0,0
gcn79002820,0,0
gcn79002827,0,0
gcn79002828,0,0
gcn79002830,0,0
gcn79002834,0,0
gcn79002837,0,0
gcn79002841,0,0
gcn79002843,0,0
gcn79002853,0,0
gcn79002854,0,0
gcn79002867,0,0
gcn79002878,0,0
gcn79002882,0,0
gcn79002887,0,0
gcn79002899,0,0
gcn79002907,0,0
gcn79002915,0,0
gcn79002918,0,0
gcn79002920,0,0
gcn79002924,0,0
gcn79002938,0,0
gcn79002941,0,0
gcn79002945,0,0
gcn79002946,0,0
gcn79002951,0,0
gcn79002952,0,0
gcn79002975,0,0
gcn79002980,0,0
gcn79002990,0,0
gcn79002994,0,0
gcn79002995,0,0
gcn79002999,0,0
gcn79003001,0,0
gcn79003017,0,0
gcn79003018,0,0
gcn79003019,0,0
gcn79003027,0,0
gcn79003028,0,0
gcn79003029,0,0
gcn79003031,0,0
gcn79003048,0,0
gcn79003056,0,0
gcn79003063,0,0
gcn79003076,0,0
gcn79003088,0,0
gcn79003091,0,0
gcn79003123,0,0
gcn79003125,0,0
gcn79003127,0,0
gcn79003130,0,0
gcn79003134,0,0
gcn79003137,0,0
gcn79003142,0,0
gcn79003143,0,0
gcn79003159,0,0
gcn79003165,0,0
gcn79003166,0,0
gcn79003169,0,0
gcn79003178,0,0
gcn79003181,0,0
gcn79003194,0,0
gcn79003201,0,0
gcn79003202,0,0
gcn79003207,0,0
gcn79003245,0,0
gcn79003249,0,0
gcn79003251,0,0
gcn79003259,0,0
gcn79003262,0,0
gcn79003263,0,0
gcn79003270,0,0
gcn79003271,0,0
gcn79003278,0,0
gcn79003284,0,0
gcn79003290,0,0
gcn79003294,0,0
gcn79003296,0,0
gcn79003300,0,0
gcn79003301,0,0
gcn79003302,0,0
gcn79003312,0,0
gcn79003321,0,0
gcn79003329,0,0
gcn79003331,0,0
gcn79003332,0,0
gcn79003335,0,0
gcn79003349,0,0
gcn79003379,0,0
gcn79003382,0,0
gcn79003384,0,0
gcn79003390,0,0
gcn79003402,0,0
gcn79003415,0,0
gcn79003419,0,0
gcn79003421,0,0
gcn79003428,0,0
gcn79003431,0,0
gcn79003432,0,0
gcn79003433,0,0
gcn79003434,0,0
gcn79003444,0,0
gcn79003450,0,0
gcn79003457,0,0
gcn79003464,0,0
gcn79003466,0,0
gcn79003477,0,0
gcn79003483,0,0
gcn79003495,0,0
gcn79003496,0,0
gcn79003505,0,0
gcn79003506,0,0
gcn79003519,0,0
gcn79003549,0,0
gcn79003559,0,0
gcn79003564,0,0
gcn79003571,0,0
gcn79003575,0,0
gcn79003582,0,0
gcn79003583,0,0
gcn79003605,0,0
gcn79003610,0,0
gcn79003633,0,0
gcn79003637,0,0
gcn79003642,0,0
gcn79003645,0,0
gcn79003649,0,0
gcn79003650,0,0
gcn79003673,0,0
gcn79003674,0,0
gcn79003675,0,0
gcn79003682,0,0
gcn79003712,0,0
gcn79003714,0,0
gcn79003715,0,0
gcn79003727,0,0
gcn79003728,0,0
gcn79003729,0,0
gcn79003733,0,0
gcn79003734,0,0
gcn79003750,0,0
gcn79003760,0,0
gcn79003766,0,0
gcn79003779,0,0
gcn79003782,0,0
gcn79003783,0,0
gcn79003791,0,0
gcn79003795,0,0
gcn79003797,0,0
gcn79003816,0,0
gcn79003818,0,0
gcn79003827,0,0
gcn79003830,0,0
gcn79003836,0,0
gcn79003840,0,0
gcn79003856,0,0
gcn79003862,0,0
gcn79003871,0,0
gcn79003878,0,0
gcn79003880,0,0
gcn79003884,0,0
gcn79003891,0,0
gcn79003895,0,0
gcn79003908,0,0
gcn79003909,0,0
gcn79003921,0,0
gcn79003931,0,0
gcn79003941,0,0
gcn79003945,0,0
gcn79003963,0,0
gcn79003968,0,0
gcn79003978,0,0
gcn79003980,0,0
gcn79003986,0,0
gcn79003994,0,0
gcn79004001,0,0
gcn79004008,0,0
gcn79004009,0,0
gcn79004014,0,0
gcn79004018,0,0
gcn79004029,0,0
gcn79004031,0,0
gcn79004038,0,0
gcn79004041,0,0
gcn79004043,0,0
gcn79004053,0,0
gcn79004063,0,0
gcn79004066,0,0
gcn79004083,0,0
gcn79004091,0,0
gcn79004104,0,0
gcn79004106,0,0
gcn79004110,0,0
gcn79004112,0,0
gcn79004117,0,0
gcn79004127,0,0
gcn79004129,0,0
gcn79004130,0,0
gcn79004140,0,0
gcn79004144,0,0
gcn79004147,0,0
gcn79004168,0,0
gcn79004171,0,0
gcn79004175,0,0
gcn79004176,0,0
gcn79004188,0,0
gcn79004191,0,0
gcn79004196,0,0
gcn79004204,0,0
gcn79004210,0,0
gcn79004227,0,0
gcn79004234,0,0
gcn79004238,0,0
gcn79004250,0,0
gcn79004252,0,0
gcn79004253,0,0
gcn79004254,0,0
gcn79004256,0,0
gcn79004257,0,0
gcn79004281,0,0
gcn79004284,0,0
gcn79004287,0,0
gcn79004293,0,0
gcn79004319,0,0
gcn79004321,0,0
gcn79004322,0,0
gcn79004326,0,0
gcn79004337,0,0
gcn79004345,0,0
gcn79004356,0,0
gcn79004364,0,0
gcn79004365,0,0
gcn79004378,0,0
gcn79004384,0,0
gcn79004387,0,0
gcn79004396,0,0
gcn79004405,0,0
gcn79004415,0,0
gcn79004425,0,0
gcn79004426,0,0
gcn79004429,0,0
gcn79004433,0,0
gcn79004439,0,0
gcn79004440,0,0
gcn79004444,0,0
gcn79004457,0,0
gcn79004472,0,0
gcn79004473,0,0
gcn79004475,0,0
gcn79004476,0,0
gcn79004485,0,0
gcn79004489,0,0
gcn79004496,0,0
gcn79004498,0,0
gcn79004500,0,0
gcn79004503,0,0
gcn79004508,0,0
gcn79004514,0,0
gcn79004519,0,0
gcn79004524,0,0
gcn79004533,0,0
gcn79004534,0,0
gcn79004544,0,0
gcn79004559,0,0
gcn79004561,0,0
gcn79004575,0,0
gcn79004578,0,0
gcn79004584,0,0
gcn79004585,0,0
gcn79004588,0,0
gcn79004603,0,0
gcn79004604,0,0
gcn79004611,0,0
gcn79004615,0,0
gcn79004620,0,0
gcn79004624,0,0
gcn79004629,0,0
gcn79004641,0,0
gcn79004643,0,0
gcn79004646,0,0
gcn79004647,0,0
gcn79004661,0,0
gcn79004664,0,0
gcn79004667,0,0
gcn79004669,0,0
gcn79004671,0,0
gcn79004674,0,0
gcn79004684,0,0
gcn79004702,0,0
gcn79004704,0,0
gcn79004714,0,0
gcn79004717,0,0
gcn79004718,0,0
gcn79004724,0,0
gcn79004725,0,0
gcn79004744,0,0
gcn79004745,0,0
gcn79004747,0,0
gcn79004748,0,0
gcn79004752,0,0
gcn79004754,0,0
gcn79004755,0,0
gcn79004757,0,0
gcn79004763,0,0
gcn79004764,0,0
gcn79004768,0,0
gcn79004780,0,0
gcn79004787,0,0
gcn79004793,0,0
gcn79004795,0,0
gcn79004796,0,0
gcn79004798,0,0
gcn79004804,0,0
gcn79004811,0,0
gcn79004819,0,0
gcn79004839,0,0
gcn79004845,0,0
gcn79004860,0,0
gcn79004863,0,0
gcn79004866,0,0
gcn79004867,0,0
gcn79004872,0,0
gcn79004875,0,0
gcn79004885,0,0
gcn79004889,0,0
gcn79004909,0,0
gcn79004914,0,0
gcn79004916,0,0
gcn79004917,0,0
gcn79004922,0,0
gcn79004939,0,0
gcn79004944,0,0
gcn79004945,0,0
gcn79004958,0,0
gcn79004965,0,0
gcn79004974,0,0
gcn79004988,0,0
gcn79004992,0,0
gcn79004997,0,0
gcn79005003,0,0
gcn79005004,0,0
gcn79005005,0,0
gcn79005012,0,0
gcn79005020,0,0
gcn79005021,0,0
gcn79005024,0,0
gcn79005025,0,0
gcn79005036,0,0
gcn79005039,0,0
gcn79005047,0,0
gcn79005059,0,0
gcn79005064,0,0
gcn79005065,0,0
gcn79005086,0,0
gcn79005088,0,0
gcn79005090,0,0
gcn79005093,0,0
gcn79005095,0,0
gcn79005103,0,0
gcn79005106,0,0
gcn79005127,0,0
gcn79005128,0,0
gcn79005134,0,0
gcn79005155,0,0
gcn79005156,0,0
gcn79005168,0,0
gcn79005171,0,0
gcn79005173,0,0
gcn79005175,0,0
gcn79005188,0,0
gcn79005189,0,0
gcn79005195,0,0
gcn79005196,0,0
gcn79005198,0,0
gcn79005202,0,0
gcn79005204,0,0
gcn79005205,0,0
gcn79005211,0,0
gcn79005214,0,0
gcn79005221,0,0
gcn79005238,0,0
gcn79005243,0,0
gcn79005248,0,0
gcn79005258,0,0
gcn79005260,0,0
gcn79005283,0,0
gcn79005289,0,0
gcn79005300,0,0
gcn79005305,0,0
gcn79005312,0,0
gcn79005316,0,0
gcn79005324,0,0
gcn79005333,0,0
gcn79005336,0,0
gcn79005340,0,0
gcn79005341,0,0
gcn79005343,0,0
gcn79005362,0,0
gcn79005370,0,0
gcn79005374,0,0
gcn79005378,0,0
gcn79005384,0,0
gcn79005391,0,0
gcn79005395,0,0
gcn79005399,0,0
gcn79005402,0,0
gcn79005406,0,0
gcn79005407,0,0
gcn79005422,0,0
gcn79005425,0,0
gcn79005427,0,0
gcn79005466,0,0
gcn79005467,0,0
gcn79005476,0,0
gcn79005480,0,0
gcn79005483,0,0
gcn79005488,0,0
gcn79005499,0,0
gcn79005500,0,0
gcn79005514,0,0
gcn79005518,0,0
gcn79005528,0,0
gcn79005552,0,0
gcn79005553,0,0
gcn79005557,0,0
gcn79005565,0,0
gcn79005568,0,0
gcn79005571,0,0
gcn79005573,0,0
gcn79005574,0,0
gcn79005575,0,0
gcn79005577,0,0
gcn79005578,0,0
gcn79005587,0,0
gcn79005592,0,0
gcn79005612,0,0
gcn79005631,0,0
gcn79005639,0,0
gcn79005651,0,0
gcn79005653,0,0
gcn79005660,0,0
gcn79005670,0,0
gcn79005694,0,0
gcn79005695,0,0
gcn79005701,0,0
gcn79005702,0,0
gcn79005705,0,0
gcn79005707,0,0
gcn79005711,0,0
gcn79005713,0,0
gcn79005721,0,0
gcn79005729,0,0
gcn79005730,0,0
gcn79005746,0,0
gcn79005752,0,0
gcn79005755,0,0
gcn79005764,0,0
gcn79005769,0,0
gcn79005779,0,0
gcn79005791,0,0
gcn79005798,0,0
gcn79005809,0,0
gcn79005811,0,0
gcn79005812,0,0
gcn79005813,0,0
gcn79005815,0,0
gcn79005817,0,0
gcn79005819,0,0
gcn79005822,0,0
gcn79005824,0,0
gcn79005826,0,0
gcn79005835,0,0
gcn79005837,0,0
gcn79005843,0,0
gcn79005846,0,0
gcn79005854,0,0
gcn79005863,0,0
gcn79005872,0,0
gcn79005888,0,0
gcn79005892,0,0
gcn79005896,0,0
gcn79005901,0,0
gcn79005906,0,0
gcn79005909,0,0
gcn79005916,0,0
gcn79005922,0,0
gcn79005932,0,0
gcn79005933,0,0
gcn79005934,0,0
gcn79005944,0,0
gcn79005945,0,0
gcn79005950,0,0
gcn79005952,0,0
gcn79005965,0,0
gcn79005992,0,0
gcn79006009,0,0
gcn79006016,0,0
gcn79006017,0,0
gcn79006021,0,0
gcn79006028,0,0
gcn79006030,0,0
gcn79006039,0,0
gcn79006042,0,0
gcn79006043,0,0
gcn79006047,0,0
gcn79006056,0,0
gcn79006059,0,0
gcn79006064,0,0
gcn79006066,0,0
gcn79006069,0,0
gcn79006087,0,0
gcn79006101,0,0
gcn79006104,0,0
gcn79006109,0,0
gcn79006123,0,0
gcn79006124,0,0
gcn79006127,0,0
gcn79006132,0,0
gcn79006143,0,0
gcn79006152,0,0
gcn79006155,0,0
gcn79006159,0,0
gcn79006161,0,0
gcn79006165,0,0
gcn79006171,0,0
gcn79006186,0,0
gcn79006195,0,0
gcn79006199,0,0
gcn79006206,0,0
gcn79006211,0,0
gcn79006214,0,0
gcn79006224,0,0
gcn79006225,0,0
gcn79006245,0,0
gcn79006264,0,0
gcn79006272,0,0
gcn79006274,0,0
gcn79006282,0,0
gcn79006290,0,0
gcn79006294,0,0
gcn79006300,0,0
gcn79006302,0,0
gcn79006307,0,0
gcn79006317,0,0
gcn79006327,0,0
gcn79006331,0,0
gcn79006335,0,0
gcn79006336,0,0
gcn79006338,0,0
gcn79006342,0,0
gcn79006358,0,0
gcn79006365,0,0
gcn79006367,0,0
gcn79006379,0,0
gcn79006380,0,0
gcn79006387,0,0
gcn79006390,0,0
gcn79006391,0,0
gcn79006410,0,0
gcn79006415,0,0
gcn79006416,0,0
gcn79006425,0,0
gcn79006433,0,0
gcn79006440,0,0
gcn79006442,0,0
gcn79006443,0,0
gcn79006445,0,0
gcn79006453,0,0
gcn79006456,0,0
gcn79006469,0,0
gcn79006472,0,0
gcn79006479,0,0
gcn79006482,0,0
gcn79006485,0,0
gcn79006486,0,0
gcn79006490,0,0
gcn79006495,0,0
gcn79006498,0,0
gcn79006500,0,0
gcn79006515,0,0
gcn79006520,0,0
gcn79006535,0,0
gcn79006538,0,0
gcn79006540,0,0
gcn79006541,0,0
gcn79006548,0,0
gcn79006550,0,0
gcn79006551,0,0
gcn79006552,0,0
gcn79006553,0,0
gcn79006556,0,0
gcn79006559,0,0
gcn79006560,0,0
gcn79006562,0,0
gcn79006572,0,0
gcn79006576,0,0
gcn79006583,0,0
gcn79006587,0,0
gcn79006592,0,0
gcn79006597,0,0
gcn79006606,0,0
gcn79006617,0,0
gcn79006619,0,0
gcn79006623,0,0
gcn79006626,0,0
gcn79006631,0,0
gcn79006632,0,0
gcn79006649,0,0
gcn79006672,0,0
gcn79006674,0,0
gcn79006675,0,0
gcn79006676,0,0
gcn79006677,0,0
gcn79006681,0,0
gcn79006699,0,0
gcn79006717,0,0
gcn79006726,0,0
gcn79006728,0,0
gcn79006734,0,0
gcn79006735,0,0
gcn79006754,0,0
gcn79006766,0,0
gcn79006788,0,0
gcn79006792,0,0
gcn79006796,0,0
gcn79006798,0,0
gcn79006799,0,0
gcn79006802,0,0
gcn79006804,0,0
gcn79006811,0,0
gcn79006812,0,0
gcn79006813,0,0
gcn79006815,0,0
gcn79006824,0,0
gcn79006831,0,0
gcn79006833,0,0
gcn79006835,0,0
gcn79006841,0,0
gcn79006844,1,19
gcn79006846,0,0
gcn79006849,0,0
gcn79006860,0,0
gcn79006861,0,0
gcn79006863,0,0
gcn79006871,0,0
gcn79006872,0,0
gcn79006880,0,0
gcn79006884,0,0
gcn79006899,0,0
gcn79006909,0,0
gcn79006916,0,0
gcn79006917,0,0
gcn79006918,0,0
gcn79006926,0,0
gcn79006939,0,0
gcn79006944,0,0
gcn79006947,0,0
gcn79006951,0,0
gcn79006960,0,0
gcn79006968,0,0
gcn79006970,0,0
gcn79006983,0,0
gcn79006992,0,0
gcn79006997,0,0
gcn79007005,0,0
gcn79007010,0,0
gcn79007014,0,0
gcn79007019,0,0
gcn79007028,0,0
gcn79007029,0,0
gcn79007035,0,0
gcn79007056,0,0
gcn79007057,0,0
gcn79007066,0,0
gcn79007068,0,0
gcn79007078,0,0
gcn79007086,0,0
gcn79007102,0,0
gcn79007107,0,0
gcn79007111,0,0
gcn79007118,0,0
gcn79007127,0,0
gcn79007128,0,0
gcn79007129,0,0
gcn79007131,0,0
gcn79007135,0,0
gcn79007138,0,0
gcn79007146,0,0
gcn79007149,0,0
gcn79007152,0,0
gcn79007153,0,0
gcn79007158,0,0
gcn79007166,0,0
gcn79007171,0,0
gcn79007172,0,0
gcn79007176,0,0
gcn79007183,0,0
gcn79007184,0,0
gcn79007186,0,0
gcn79007188,0,0
gcn79007196,0,0
gcn79007197,0,0
gcn79007201,0,0
gcn79007211,0,0
gcn79007215,0,0
gcn79007216,0,0
gcn79007230,0,0
gcn79007236,0,0
gcn79007245,0,0
gcn79007249,0,0
gcn79007255,0,0
gcn79007256,0,0
gcn79007267,0,0
gcn79007268,0,0
gcn79007269,0,0
gcn79007277,0,0
gcn79007289,0,0
gcn79007294,0,0
gcn79007301,0,0
gcn79007326,0,0
gcn79007336,0,0
gcn79007340,0,0
gcn79007351,0,0
gcn79007352,0,0
gcn79007354,0,0
gcn79007358,1,2
gcn79007359,0,0
gcn79007362,0,0
gcn79007364,0,0
gcn79007367,0,0
gcn79007387,0,0
gcn79007399,0,0
gcn79007400,0,0
gcn79007403,0,0
gcn79007405,0,0
gcn79007413,0,0
gcn79007416,0,0
gcn79007417,0,0
gcn79007422,0,0
gcn79007427,0,0
gcn79007439,0,0
gcn79007450,0,0
gcn79007455,0,0
gcn79007461,0,0
gcn79007464,0,0
gcn79007465,0,0
gcn79007484,0,0
gcn79007486,0,0
gcn79007498,0,0
gcn79007519,0,0
gcn79007521,0,0
gcn79007522,0,0
gcn79007529,0,0
gcn79007532,0,0
gcn79007538,0,0
gcn79007542,0,0
gcn79007543,0,0
gcn79007546,0,0
gcn79007548,0,0
gcn79007554,0,0
gcn79007555,0,0
gcn79007565,0,0
gcn79007574,0,0
gcn79007578,0,0
gcn79007579,0,0
gcn79007581,0,0
gcn79007600,0,0
gcn79007601,0,0
gcn79007607,0,0
gcn79007608,0,0
gcn79007617,0,0
gcn79007625,0,0
gcn79007636,0,0
gcn79007639,0,0
gcn79007645,0,0
gcn79007648,0,0
gcn79007653,0,0
gcn79007661,0,0
gcn79007667,0,0
gcn79007670,0,0
gcn79007673,0,0
gcn79007677,0,0
gcn79007679,0,0
gcn79007686,0,0
gcn79007687,0,0
gcn79007688,0,0
gcn79007702,0,0
gcn79007706,0,0
gcn79007713,0,0
gcn79007720,0,0
gcn79007731,0,0
gcn79007744,0,0
gcn79007757,0,0
gcn79007759,0,0
gcn79007761,0,0
gcn79007774,0,0
gcn79007776,0,0
